Date,dual_us_weighted_return,dual_us_fraction_up,dual_us_weight_sum,dual_us_normalized_return
2025-11-07,-0.0022805831434694,0.3333333333333333,0.48169779999999995,-0.004734468671996011
2025-11-10,0.0177865101711293,0.8888888888888888,0.48169779999999995,0.03692462405086613
2025-11-11,-0.0023744020959532005,0.3333333333333333,0.48169779999999995,-0.004929235915034698
2025-11-12,0.0091082060127966,0.4444444444444444,0.48169779999999995,0.018908548083044183
2025-11-13,-0.013755153198463998,0.1111111111111111,0.48169779999999995,-0.028555565747786265
2025-11-14,-0.0027567890866841,0.4444444444444444,0.48169779999999995,-0.0057230676301284755
2025-11-17,-0.006479966082455201,0.2222222222222222,0.48169779999999995,-0.013452347265142588
2025-11-18,-0.0047379822302637,0.3333333333333333,0.48169779999999995,-0.00983600554178097
2025-11-19,0.002099797294696399,0.5555555555555556,0.48169779999999995,0.004359158988677962
2025-11-20,-0.019499449080563898,0.0,0.48169779999999995,-0.04048066875240846
2025-11-21,0.0078872390744036,0.7777777777777778,0.48169779999999995,0.01637383246177085
2025-11-24,0.016118084929887897,0.8888888888888888,0.48169779999999995,0.033460989296376066
2025-11-25,0.0050386236061298,0.7777777777777778,0.48169779999999995,0.010460134146615991
2025-11-26,0.011023776996049298,0.7777777777777778,0.48169779999999995,0.022885255020988884
2025-11-28,0.0082031049929433,1.0,0.48169779999999995,0.017029567070771967
2025-12-01,-0.0017240371175494002,0.3333333333333333,0.48169779999999995,-0.00357908447485
2025-12-02,0.0116856186637998,0.8888888888888888,0.48169779999999995,0.02425923195787857
2025-12-03,0.006001528035652399,0.6666666666666666,0.48169779999999995,0.012459114481428812
2025-12-04,0.0002736551602532999,0.4444444444444444,0.48169779999999995,0.0005681054807667794
2025-12-05,-0.0002583838286229998,0.5555555555555556,0.48169779999999995,-0.0005364023431765722
2025-12-08,0.0009790811371553996,0.4444444444444444,0.48169779999999995,0.002032563024276631
2025-12-09,0.006098836891153999,0.7777777777777778,0.48169779999999995,0.012661126729567792
2025-12-10,0.005531157024357801,0.5555555555555556,0.48169779999999995,0.011482628785844155
2025-12-11,0.0052588969297321,0.8888888888888888,0.48169779999999995,0.010917419447903023
2025-12-12,-0.015094257671628798,0.3333333333333333,0.48169779999999995,-0.031335533755040605
2025-12-15,-0.0007899967926980993,0.4444444444444444,0.48169779999999995,-0.0016400257437299887
2025-12-16,-0.0025484107728237,0.4444444444444444,0.48169779999999995,-0.005290476254663609
2025-12-17,-0.008529760123914999,0.2222222222222222,0.48169779999999995,-0.017707699981015068
2025-12-18,0.0095946628415355,0.8888888888888888,0.48169779999999995,0.019918427780935475
2025-12-19,0.00705234436655,1.0,0.48169779999999995,0.014640599077990393
2025-12-22,0.0098245886061053,0.8888888888888888,0.48169779999999995,0.020395751456837256
2025-12-23,0.0087242461116659,1.0,0.48169779999999995,0.01811145102108812
2025-12-24,0.0050755408829270005,1.0,0.48169779999999995,0.010536774058189598
2025-12-26,-0.0037113553997282,0.2222222222222222,0.48169779999999995,-0.007704738115325004
2025-12-29,-0.0009872190413186999,0.3333333333333333,0.48169779999999995,-0.0020494572350521424
2025-12-30,0.0015897043923920999,0.4444444444444444,0.48169779999999995,0.003300211029388343
2025-12-31,-0.0035382503676291994,0.3333333333333333,0.48169779999999995,-0.007345373733550786
2026-01-02,0.015815947652363,0.7777777777777778,0.48169779999999995,0.03283375521408444
2026-01-05,0.014237454592636598,0.7777777777777778,0.48169779999999995,0.029556818803483428
2026-01-06,0.012729174611621298,0.8888888888888888,0.48169779999999995,0.026425644069001976
2026-01-07,-0.0025405793880981004,0.2222222222222222,0.48169779999999995,-0.005274218375292768
2026-01-08,-0.0030217614407909996,0.5555555555555556,0.48169779999999995,-0.006273147688843503
2026-01-09,0.0069413366987494,0.7777777777777778,0.48169779999999995,0.014410148227269048
2026-01-12,0.0082443621403862,0.6666666666666666,0.48169779999999995,0.017115216512066697
2026-01-13,0.0018543667567703002,0.5555555555555556,0.48169779999999995,0.0038496475524079626
2026-01-14,-0.0018519633920275993,0.4444444444444444,0.48169779999999995,-0.0038446581903168325
2026-01-15,0.005641536494207401,0.5555555555555556,0.48169779999999995,0.011711775503661011
2026-01-16,0.0045428499988981,0.6666666666666666,0.48169779999999995,0.009430912906179145
2026-01-20,0.0005872743555783,0.2222222222222222,0.48169779999999995,0.0012191759139823766
2026-01-21,0.0065431403577956,0.8888888888888888,0.48169779999999995,0.013583496453161299
2026-01-22,-0.0021150703801700995,0.3333333333333333,0.48169779999999995,-0.0043908657672302
2026-01-23,0.0036845823216396004,0.7777777777777778,0.48169779999999995,0.007649157462707118
2026-01-26,-6.831693092250002e-05,0.5555555555555556,0.48169779999999995,-0.00014182529154689938
2026-01-27,0.012414291542518099,0.8888888888888888,0.48169779999999995,0.02577194984597833
2026-01-28,0.006484765437640299,0.6666666666666666,0.48169779999999995,0.013462310680348342
2026-01-29,-0.0012882668168071,0.3333333333333333,0.48169779999999995,-0.002674429521594452
2026-01-30,-0.011833231431833301,0.2222222222222222,0.48169779999999995,-0.024565674644628444
2026-02-02,0.0064140499145966,0.6666666666666666,0.48169779999999995,0.013315505934626649
2026-02-03,0.0071952186154503,0.5555555555555556,0.48169779999999995,0.014937204644593147
2026-02-04,-0.022621688426886596,0.2222222222222222,0.48169779999999995,-0.04696240760677462
2026-02-05,0.0011732813157443,0.3333333333333333,0.5240241999999999,0.0022389830770111383
2026-02-06,0.0185197923430384,0.7777777777777778,0.5240241999999999,0.03534148297547785
