Date,TA35_Open,TA35_Close,dual_us_weighted_return,dual_us_fraction_up,dual_us_weight_sum,dual_us_normalized_return,Prev_Close,TA35_Return,Lag1_Return,RollingVol_5,Open_Gap,Open_Gap_Sign
2025-11-18,3413.71,3385.71,-0.0047379822302637,0.3333333333333333,0.4816977999999999,-0.0098360055417809,3451.39,-0.01903001399436166,0.004979195117476909,0.012073558378312137,-0.010917340549749466,0
2025-11-19,3394.74,3395.1,0.0020997972946963,0.5555555555555556,0.4816977999999999,0.0043591589886779,3385.71,0.00277342123217883,-0.01903001399436166,0.011923672478822095,0.0026670919836606632,1
2025-11-20,3415.17,3359.36,-0.0194994490805638,0.0,0.4816977999999999,-0.0404806687524084,3395.1,-0.010526935878177324,0.00277342123217883,0.01013682891260513,0.005911460634443699,1
2025-11-24,3334.79,3371.41,0.0161180849298878,0.8888888888888888,0.4816977999999999,0.033460989296376,3359.36,0.0035869927605256535,-0.010526935878177324,0.010629372948715698,-0.007313893122499526,0
2025-11-25,3377.97,3344.86,0.0050386236061298,0.7777777777777778,0.4816977999999999,0.0104601341466159,3371.41,-0.007875043379476199,0.0035869927605256535,0.009518979655130166,0.0019457734301078222,1
2025-11-26,3366.8,3374.3,0.0110237769960492,0.7777777777777778,0.4816977999999999,0.0228852550209888,3344.86,0.008801564191027511,-0.007875043379476199,0.008196936629376062,0.006559317878775284,1
2025-12-01,3408.25,3429.69,-0.0017240371175494,0.3333333333333333,0.4816977999999999,-0.00357908447485,3374.3,0.01641525649764386,0.008801564191027511,0.011302519093751804,0.010061346056959852,1
2025-12-02,3440.03,3495.1,0.0116856186637998,0.8888888888888888,0.4816977999999999,0.0242592319578785,3429.69,0.0190716945263274,0.01641525649764386,0.010788108058303332,0.003014849738606218,1
2025-12-03,3493.06,3467.16,0.0060015280356523,0.6666666666666666,0.4816977999999999,0.0124591144814288,3495.1,-0.007994048811192811,0.0190716945263274,0.012990824779579696,-0.0005836742868586819,0
2025-12-04,3502.82,3506.55,0.0002736551602532,0.4444444444444444,0.4816977999999999,0.0005681054807667,3467.16,0.011360883258920929,-0.007994048811192811,0.010599831658108697,0.010285074816276163,1
