Date,TA35_Open,TA35_Close,dual_us_weighted_return,dual_us_fraction_up,dual_us_weight_sum,dual_us_normalized_return,Prev_Close,TA35_Return,Lag1_Return,RollingVol_5,Open_Gap,Open_Gap_Sign,ret_5d,ret_10d,ret_20d,ma_10,ma_20,dist_ma_10,dist_ma_20,vol_10,vol_20,Expiry_Date,Expiry_Close,Days_To_Expiry,Short_Strike,Long_Strike,Dist_To_Short_Pct,Dist_To_Long_Pct,Spread_Width,Target_Binary,Expiry_Return_From_Entry
2025-12-24,3720.12,3719.65,0.005075540882927,1.0,0.4816977999999999,0.0105367740581895,3711.25,0.0022633883462446,0.0006659871979464,0.0048473278279512,0.0023900303132367,1,0.031136602417854764,0.048231647174862724,0.09863219236142484,3644.494,3536.8485,0.02062179276464704,0.051684854468603936,0.006317133334980139,0.008500599056450809,2025-12-31,3631.55,7,3760.0,3770.0,0.01084779481940501,0.013536219805626803,10.0,1,-0.023685024128614174
2026-01-05,3755.05,3738.33,0.0142374545926365,0.7777777777777778,0.4816977999999999,0.0295568188034834,3631.55,0.0294034227809061,-0.0080903099282469,0.0201735136745069,0.0340075174512259,1,0.00729673290670263,0.039687064575609776,0.11763422086425135,3670.2,3596.2235,0.01856302108876906,0.039515480614594756,0.014028260091485101,0.011764709701744222,2026-01-30,4003.67,25,3780.0,3790.0,0.011146688494595214,0.013821679733998948,10.0,0,0.0709782175463376
2026-01-06,3759.74,3845.39,0.0127291746116212,0.8888888888888888,0.4816977999999999,0.0264256440690019,3738.33,0.0286384562090558,0.0294034227809061,0.0235503085609289,0.0057271562435632,1,0.033804255776753056,0.06599340786676011,0.13961117861482375,3694.006,3619.778,0.040980983788331704,0.062327579205133654,0.01603397113292645,0.012832816158732526,2026-01-30,4003.67,24,3880.0,3890.0,0.009000387476952865,0.0116009039395224,10.0,0,0.04116097456954959
2026-01-07,3848.59,3845.78,-0.0025405793880981,0.2222222222222222,0.4816977999999999,-0.0052742183752927,3845.39,0.0001014201420403,0.0286384562090558,0.0168208190165138,0.0008321652680223,1,0.060267204825787735,0.057962960925206586,0.12132000268245813,3715.0759999999996,3640.5824999999995,0.03518205280322673,0.05636391978481492,0.0161518948369313,0.012696101095764528,2026-01-30,4003.67,23,3880.0,3890.0,0.008898064891907476,0.011498317636474242,10.0,0,0.04105539058396479
2026-01-08,3835.95,3830.54,-0.0030217614407909,0.5555555555555556,0.4816977999999999,-0.0062731476888435,3845.78,-0.0039627851827198,0.0001014201420403,0.0183100254718232,-0.0025560484479092,0,0.04626116787802803,0.04611544427694403,0.09597436410975368,3731.9620000000004,3657.3545,0.02641452404928013,0.04735266980545649,0.016423228826064996,0.012473351353859435,2026-01-30,4003.67,22,3870.0,3880.0,0.01030141964318343,0.012912017626757644,10.0,0,0.04519728288961877
2026-01-09,3834.32,3857.77,0.0069413366987494,0.7777777777777778,0.4816977999999999,0.014410148227269,3830.54,0.0071086583092723,-0.0039627851827198,0.0158089918515582,0.0009868060377911,1,0.062292960306205236,0.04017223992795471,0.11265992916392675,3746.861,3676.8849999999998,0.029600510934352897,0.04919517471990553,0.01620240320760362,0.01211866853439664,2026-01-30,4003.67,21,3900.0,3910.0,0.010946738659899369,0.013538909784668318,10.0,0,0.037819776710379394
2026-01-12,3845.78,3884.13,0.0082443621403862,0.6666666666666666,0.4816977999999999,0.0171152165120666,3857.77,0.0068329630848911,0.0071086583092723,0.0125824261716983,-0.0031080131785979,0,0.03900137227050582,0.04658268777366126,0.10767848740214747,3764.149,3695.764,0.0318746680856683,0.050968081295234224,0.016176042681682455,0.012043934921715151,2026-01-30,4003.67,18,3920.0,3930.0,0.009235015305872896,0.011809594426551051,10.0,0,0.030776518808587783
2026-01-13,3889.91,3866.86,0.0018543667567703,0.5555555555555556,0.4816977999999999,0.0038496475524079,3884.13,-0.0044462981414112,0.0068329630848911,0.0056204454908465,0.001488106731752,1,0.005583308845136692,0.03957630422217151,0.08971678173876296,3778.87,3711.682,0.0232847385594106,0.04180799971549298,0.0164246932468391,0.012117308319706114,2026-01-30,4003.67,17,3910.0,3920.0,0.011156338734787274,0.013742416327459539,10.0,0,0.03538012754534692
2026-01-14,3877.33,3928.48,-0.0018519633920275,0.4444444444444444,0.4816977999999999,-0.0038446581903168,3866.86,0.0159354101260453,-0.0044462981414112,0.0085798947688702,0.0027076232395275,1,0.02150409019756716,0.08306728643188377,0.10071055521933081,3809.0,3729.654,0.03136781307429781,0.05330950270454049,0.013208934920692344,0.012389001213364267,2026-01-30,4003.67,16,3970.0,3980.0,0.010568973241559032,0.013114487028061728,10.0,0,0.01913971816071358
2026-01-15,3945.38,3963.43,0.0056415364942074,0.5555555555555556,0.4816977999999999,0.011711775503661,3928.48,0.0088965706838268,0.0159354101260453,0.0073212956438019,0.0043019182991894,1,0.03469223660371634,0.08255830786333318,0.09953254823630586,3839.2259999999997,3747.5929999999994,0.03235131247808809,0.05759350068163771,0.013204671699710556,0.012367942579015282,2026-01-30,4003.67,15,4000.0,4010.0,0.009226856535879291,0.011749923677218943,10.0,0,0.010152822176751064
2026-01-16,3965.67,3971.91,0.0045428499988981,0.6666666666666666,0.4816977999999999,0.0094309129061791,3963.43,0.002139560935856,0.0088965706838268,0.0076115385845502,0.0005651670396602,1,0.029587041218112953,0.09372306590849622,0.09363272161570557,3873.262,3764.596,0.025468971631663395,0.05506938858777932,0.012171905849884179,0.01236449254040616,2026-01-30,4003.67,14,4010.0,4020.0,0.009589844684295468,0.012107525094979588,10.0,1,0.007996152984332427
2026-01-20,3964.03,3948.41,0.0005872743555783,0.2222222222222222,0.4816977999999999,0.0012191759139823,3971.91,-0.0059165489651075,0.002139560935856,0.0091824473604667,-0.0019839321636189,0,0.016549394587719757,0.05619621595739277,0.09811354338460854,3894.2699999999995,3782.2349999999997,0.013902477229365218,0.04393566237951907,0.010642808948523375,0.0121449214530087,2026-01-30,4003.67,10,3990.0,4000.0,0.010533353932342449,0.013066018979791982,10.0,0,0.01399550705220598
2026-01-21,3958.43,3932.19,0.0065431403577956,0.8888888888888888,0.4816977999999999,0.0135834964531612,3948.41,-0.0041079827069629,-0.0059165489651075,0.0091118717932394,0.0025377303775444,1,0.0168948449129267,0.022572482895103052,0.09005552583212517,3902.95,3798.478,0.007491769046490626,0.03520146753515485,0.007236182039740156,0.012303513007146,2026-01-30,4003.67,9,3970.0,3980.0,0.009615506880389812,0.012158618988400871,10.0,0,0.018178165348063047
2026-01-22,3958.18,3973.26,-0.00211507038017,0.3333333333333333,0.4816977999999999,-0.0043908657672302,3932.19,0.0104445614276014,-0.0041079827069629,0.0073899915634549,0.0066095483687207,1,0.011398810735959053,0.03314802198773714,0.09303234041616704,3915.6980000000003,3815.3869999999997,0.01470031652083481,0.041377978171021734,0.007622553274081716,0.012357633371482175,2026-01-30,4003.67,8,4010.0,4020.0,0.009246814957994065,0.011763639932951708,10.0,1,0.007653664748846101
2026-01-23,3963.23,3986.63,0.0036845823216396,0.7777777777777778,0.4816977999999999,0.0076491574627071,3973.26,0.0033649949915182,0.0104445614276014,0.0065163391981335,-0.0025243754498824,0,0.005853515767908268,0.04074882392560841,0.0887434183216449,3931.307,3831.6345,0.014072419172555195,0.04045153576104399,0.007187393492405826,0.012342301349418177,2026-01-30,4003.67,7,4030.0,4040.0,0.010878862598234562,0.013387246872671899,10.0,1,0.00427428680364117
2026-02-02,3972.1,4049.32,0.0064140499145966,0.6666666666666666,0.4816977999999999,0.0133155059346266,4003.67,0.0114020386295574,0.0062329254285764,0.007027874304606,-0.0078852652691155,0,0.010902100782644641,0.019489364059105174,0.11503903291982764,3986.79,3930.0260000000003,0.015684297392137614,0.030354506560516414,0.006485479374429651,0.010169565449568397,2026-02-27,4128.36,25,4090.0,4100.0,0.010046131202275932,0.012515681645313137,10.0,0,0.019519326701767037
2026-02-03,4070.04,4119.81,0.0071952186154503,0.5555555555555556,0.4816977999999999,0.0149372046445931,4049.32,0.0174078610729704,0.0114020386295574,0.0096591720949015,0.0051169085179734,1,0.027548037592034724,0.04340987891328418,0.10204556580077218,4003.9300000000003,3949.1,0.028941564912473572,0.04322757083892537,0.007462269309023753,0.008968946720130311,2026-02-27,4128.36,24,4160.0,4170.0,0.0097553042494678,0.012182600653913633,10.0,1,0.0020753384258009877
