Date,TA35_Open,TA35_Close,dual_us_weighted_return,dual_us_fraction_up,dual_us_weight_sum,dual_us_normalized_return,Prev_Close,TA35_Return,Lag1_Return,RollingVol_5,Open_Gap,Open_Gap_Sign,ret_5d,ret_10d,ma_10,dist_ma_10,vol_10,Expiry_Date,Expiry_Close,Days_To_Expiry,Short_Strike,Long_Strike,Dist_To_Short_Pct,Dist_To_Long_Pct,Spread_Width,Target_Binary,Expiry_Return_From_Entry
2025-12-08,3541.23,3548.5,0.0009790811371553,0.4444444444444444,0.4816977999999999,0.0020325630242766,3506.55,0.0119633257760476,0.0113608832589209,0.0106396671390393,0.0098900628823201,1,0.05162552233055728,0.04808149546180851,3429.203,0.034788549992520235,0.01061333692942771,2025-12-30,3661.17,22.0,3600.0,3610.0,0.014513174580808696,0.017331266732422135,10.0,0,0.03175144427222776
2025-12-09,3550.36,3569.04,0.0060988368911539,0.7777777777777778,0.4816977999999999,0.0126611267295677,3548.5,0.0057883612794138,0.0119633257760476,0.0101276800644215,0.0005241651402001,1,0.04063049430123411,0.05123265883184591,3446.597,0.03552576642990157,0.010593510249519673,2025-12-30,3661.17,21.0,3620.0,3630.0,0.014278349360052012,0.01708022325331182,10.0,0,0.025813664178602647
2025-12-10,3570.44,3604.65,0.0055311570243578,0.5555555555555556,0.4816977999999999,0.0114826287858441,3569.04,0.0099774729338981,0.0057883612794138,0.0083029899265839,0.0003922623450562,1,0.03134388143400768,0.07301688416841312,3471.1259999999993,0.03846705651134563,0.009123964949975982,2025-12-30,3661.17,20.0,3660.0,3670.0,0.015355166243602003,0.018129360686890417,10.0,0,0.01567974699346686
2025-12-11,3595.86,3631.85,0.0052588969297321,0.8888888888888888,0.4816977999999999,0.010917419447903,3604.65,0.0075458088857447,0.0099774729338981,0.0026079021924342,-0.0024385169156505,0,0.04749997115795068,0.07724957806970978,3497.1700000000005,0.03851113900668235,0.009039632232852491,2025-12-30,3661.17,19.0,3690.0,3700.0,0.016011123807426086,0.018764541487120923,10.0,1,0.008073020636865547
2025-12-15,3624.99,3595.63,-0.000789996792698,0.4444444444444444,0.4816977999999999,-0.0016400257437299,3631.85,-0.0099728788358549,0.0075458088857447,0.0087254605611323,-0.0018888445282707,0,0.02540388701144991,0.07497174769646553,3522.2470000000003,0.02083414365886327,0.009451203299732865,2025-12-30,3661.17,15.0,3650.0,3660.0,0.015121133153299882,0.01790228694276097,10.0,0,0.018227681936128004
2025-12-16,3574.87,3607.33,-0.0025484107728237,0.4444444444444444,0.4816977999999999,-0.0052904762546636,3595.63,0.0032539499336694,-0.0099728788358549,0.0078258736532979,-0.0057736752669212,0,0.01657883612794131,0.06906024953323642,3545.55,0.017424659079691374,0.009515590694675433,2025-12-30,3661.17,14.0,3660.0,3670.0,0.014600826650181808,0.01737296005632971,10.0,0,0.014925166258701106
2025-12-17,3614.25,3635.08,-0.0085297601239149,0.2222222222222222,0.4816977999999999,-0.017707699981015,3607.33,0.0076926702020607,0.0032539499336694,0.0080200514698036,0.0019183163170544,1,0.018503575191087807,0.059885878898676026,3566.089,0.019346404422323715,0.008910817259721556,2025-12-30,3661.17,13.0,3690.0,3700.0,0.015108333241634408,0.01785930433443017,10.0,1,0.0071772835811041436
2025-12-18,3637.32,3661.68,0.0095946628415355,0.8888888888888888,0.4816977999999999,0.0199184277809354,3635.08,0.0073175831068366,0.0076926702020607,0.0075754038401292,0.0006162175247863,1,0.01582123091007448,0.047661011129867425,3582.7470000000003,0.02203141890845206,0.007663686555518458,2025-12-30,3661.17,12.0,3720.0,3730.0,0.015927115422429194,0.01865810229184417,10.0,1,-0.0001392803303400525
2025-12-22,3686.8,3708.78,0.0098245886061053,0.8888888888888888,0.4816977999999999,0.0203957514568372,3661.68,0.0128629481549453,0.0073175831068366,0.008641838425978,0.0068602390159708,1,0.02118204220989317,0.06968815976188014,3606.9090000000006,0.028243296406978757,0.006590069892179891,2025-12-30,3661.17,8.0,3760.0,3770.0,0.013810471367943,0.016506775813070584,10.0,1,-0.012837105463252119
2025-12-23,3705.82,3711.25,0.0087242461116659,1.0,0.4816977999999999,0.0181114510210881,3708.78,0.0006659871979464,0.0128629481549453,0.0046650463386925,-0.0007981061157577,0,0.03215570011374913,0.05837646689766296,3627.379,0.02312165340318728,0.006631562984194113,2025-12-30,3661.17,7.0,3770.0,3780.0,0.01583024587403159,0.018524755810036986,10.0,1,-0.01349410575951493
2025-12-24,3720.12,3719.65,0.005075540882927,1.0,0.4816977999999999,0.0105367740581895,3711.25,0.0022633883462446,0.0006659871979464,0.0048473278279512,0.0023900303132367,1,0.031136602417854764,0.048231647174862724,3644.494,0.02062179276464704,0.006317133334980139,2025-12-30,3661.17,6.0,3780.0,3790.0,0.016224644791848597,0.01891306977807039,10.0,1,-0.015721909319425187
2026-01-05,3755.05,3738.33,0.0142374545926365,0.7777777777777778,0.4816977999999999,0.0295568188034834,3631.55,0.0294034227809061,-0.0080903099282469,0.0201735136745069,0.0340075174512259,1,0.00729673290670263,0.039687064575609776,3670.2,0.01856302108876906,0.014028260091485101,2026-01-29,3978.87,24.0,3790.0,3800.0,0.013821679733998948,0.016496670973402683,10.0,0,0.06434423927261634
2026-01-06,3759.74,3845.39,0.0127291746116212,0.8888888888888888,0.4816977999999999,0.0264256440690019,3738.33,0.0286384562090558,0.0294034227809061,0.0235503085609289,0.0057271562435632,1,0.033804255776753056,0.06599340786676011,3694.006,0.040980983788331704,0.01603397113292645,2026-01-29,3978.87,23.0,3900.0,3910.0,0.014201420402091935,0.01680193686466125,10.0,0,0.03471169374237726
2026-01-07,3848.59,3845.78,-0.0025405793880981,0.2222222222222222,0.4816977999999999,-0.0052742183752927,3845.39,0.0001014201420403,0.0286384562090558,0.0168208190165138,0.0008321652680223,1,0.060267204825787735,0.057962960925206586,3715.0759999999996,0.03518205280322673,0.0161518948369313,2026-01-29,3978.87,22.0,3900.0,3910.0,0.014098570381041009,0.016698823125607776,10.0,0,0.03460676377743899
2026-01-08,3835.95,3830.54,-0.0030217614407909,0.5555555555555556,0.4816977999999999,-0.0062731476888435,3845.78,-0.0039627851827198,0.0001014201420403,0.0183100254718232,-0.0025560484479092,0,0.04626116787802803,0.04611544427694403,3731.9620000000004,0.02641452404928013,0.016423228826064996,2026-01-29,3978.87,21.0,3890.0,3900.0,0.015522615610331636,0.01813321359390585,10.0,0,0.03872299989035488
2026-01-09,3834.32,3857.77,0.0069413366987494,0.7777777777777778,0.4816977999999999,0.014410148227269,3830.54,0.0071086583092723,-0.0039627851827198,0.0158089918515582,0.0009868060377911,1,0.062292960306205236,0.04017223992795471,3746.861,0.029600510934352897,0.01620240320760362,2026-01-29,3978.87,20.0,3920.0,3930.0,0.016131080909437268,0.018723252034206217,10.0,0,0.03139119232095222
2026-01-12,3845.78,3884.13,0.0082443621403862,0.6666666666666666,0.4816977999999999,0.0171152165120666,3857.77,0.0068329630848911,0.0071086583092723,0.0125824261716983,-0.0031080131785979,0,0.03900137227050582,0.04658268777366126,3764.149,0.0318746680856683,0.016176042681682455,2026-01-29,3978.87,17.0,3940.0,3950.0,0.014384173547229429,0.016958752667907584,10.0,0,0.024391562589305638
2026-01-13,3889.91,3866.86,0.0018543667567703,0.5555555555555556,0.4816977999999999,0.0038496475524079,3884.13,-0.0044462981414112,0.0068329630848911,0.0056204454908465,0.001488106731752,1,0.005583308845136692,0.03957630422217151,3778.87,0.0232847385594106,0.0164246932468391,2026-01-29,3978.87,16.0,3920.0,3930.0,0.013742416327459539,0.01632849392013158,10.0,0,0.0289666551155201
2026-01-14,3877.33,3928.48,-0.0018519633920275,0.4444444444444444,0.4816977999999999,-0.0038446581903168,3866.86,0.0159354101260453,-0.0044462981414112,0.0085798947688702,0.0027076232395275,1,0.02150409019756716,0.08306728643188377,3809.0,0.03136781307429781,0.013208934920692344,2026-01-29,3978.87,15.0,3990.0,4000.0,0.015660000814564423,0.01820551460106712,10.0,1,0.012826843970186852
2026-01-15,3945.38,3963.43,0.0056415364942074,0.5555555555555556,0.4816977999999999,0.011711775503661,3928.48,0.0088965706838268,0.0159354101260453,0.0073212956438019,0.0043019182991894,1,0.03469223660371634,0.08255830786333318,3839.2259999999997,0.03235131247808809,0.013204671699710556,2026-01-29,3978.87,14.0,4020.0,4030.0,0.014272990818558817,0.01679605795989847,10.0,1,0.0038956156662284247
2026-01-16,3965.67,3971.91,0.0045428499988981,0.6666666666666666,0.4816977999999999,0.0094309129061791,3963.43,0.002139560935856,0.0088965706838268,0.0076115385845502,0.0005651670396602,1,0.029587041218112953,0.09372306590849622,3873.262,0.025468971631663395,0.012171905849884179,2026-01-29,3978.87,13.0,4030.0,4040.0,0.014625205505663486,0.017142885916347606,10.0,1,0.0017523055658361653
2026-01-20,3964.03,3948.41,0.0005872743555783,0.2222222222222222,0.4816977999999999,0.0012191759139823,3971.91,-0.0059165489651075,0.002139560935856,0.0091824473604667,-0.0019839321636189,0,0.016549394587719757,0.05619621595739277,3894.2699999999995,0.013902477229365218,0.010642808948523375,2026-01-29,3978.87,9.0,4010.0,4020.0,0.015598684027241294,0.018131349074690828,10.0,1,0.007714497734531145
2026-01-21,3958.43,3932.19,0.0065431403577956,0.8888888888888888,0.4816977999999999,0.0135834964531612,3948.41,-0.0041079827069629,-0.0059165489651075,0.0091118717932394,0.0025377303775444,1,0.0168948449129267,0.022572482895103052,3902.95,0.007491769046490626,0.007236182039740156,2026-01-29,3978.87,8.0,3990.0,4000.0,0.01470173109641193,0.017244843204422988,10.0,1,0.011871247320195621
2026-01-22,3958.18,3973.26,-0.00211507038017,0.3333333333333333,0.4816977999999999,-0.0043908657672302,3932.19,0.0104445614276014,-0.0041079827069629,0.0073899915634549,0.0066095483687207,1,0.011398810735959053,0.03314802198773714,3915.6980000000003,0.01470031652083481,0.007622553274081716,2026-01-29,3978.87,7.0,4030.0,4040.0,0.014280464907909352,0.016797289882866995,10.0,1,0.00141193881095103
2026-01-23,3963.23,3986.63,0.0036845823216396,0.7777777777777778,0.4816977999999999,0.0076491574627071,3973.26,0.0033649949915182,0.0104445614276014,0.0065163391981335,-0.0025243754498824,0,0.005853515767908268,0.04074882392560841,3931.307,0.014072419172555195,0.007187393492405826,2026-01-29,3978.87,6.0,4050.0,4060.0,0.015895631147109235,0.01840401542154657,10.0,1,-0.00194650619696346
2026-02-02,3972.1,4049.32,0.0064140499145966,0.6666666666666666,0.4816977999999999,0.0133155059346266,4003.67,0.0114020386295574,0.0062329254285764,0.007027874304606,-0.0078852652691155,0,0.010902100782644641,0.019489364059105174,3986.79,0.015684297392137614,0.006485479374429651,2026-02-26,4101.6,24.0,4110.0,4120.0,0.014985232088350564,0.01745478253138799,10.0,1,0.0129108097161994
2026-02-03,4070.04,4119.81,0.0071952186154503,0.5555555555555556,0.4816977999999999,0.0149372046445931,4049.32,0.0174078610729704,0.0114020386295574,0.0096591720949015,0.0051169085179734,1,0.027548037592034724,0.04340987891328418,4003.9300000000003,0.028941564912473572,0.007462269309023753,2026-02-26,4101.6,23.0,4180.0,4190.0,0.014609897058359467,0.0170371934628053,10.0,1,-0.004420106752495823
2026-02-04,4146.28,4120.51,-0.0226216884268865,0.2222222222222222,0.4816977999999999,-0.0469624076067746,4119.81,0.000169910748311,0.0174078610729704,0.0075825634644001,0.006425053582568,1,0.035163570771804986,0.047891887218064255,4022.762,0.02429872808781619,0.007038345597802642,2026-02-26,4101.6,22.0,4180.0,4190.0,0.014437533217975362,0.016864417268736,10.0,1,-0.004589237739988428
2026-02-05,4087.71,4039.01,0.0011732813157443,0.3333333333333333,0.5240241999999999,0.0022389830770111,4120.51,-0.0197791050136997,0.000169910748311,0.0142784097846142,-0.0079601796864952,0,0.015114844164298091,0.016548124210346238,4029.3370000000004,0.002400643083465104,0.01011818842046144,2026-02-26,4101.6,21.0,4100.0,4110.0,0.015100234958566494,0.01757608919017284,10.0,0,0.015496371635623563
2026-02-06,4046.25,4051.87,0.0185197923430384,0.7777777777777778,0.5240241999999999,0.0353414829754778,4039.01,0.0031839485418456,-0.0197791050136997,0.0141751858394554,0.0017925184636828,1,0.012038954259466994,0.016364699006429007,4035.861,0.003966687653514267,0.010115017413746643,2026-02-26,4101.6,20.0,4110.0,4120.0,0.014346462250763192,0.016814458509280872,10.0,1,0.012273345393608581
2026-02-09,4104.28,4119.77,0.0060720473694836,0.6666666666666666,0.5240241999999999,0.0115873415187384,4051.87,0.0167576945953351,0.0031839485418456,0.0151846108694097,0.0129347683908911,1,0.017397982871198092,0.028489758216519334,4047.273,0.017912554947491888,0.011177655612985867,2026-02-26,4101.6,17.0,4180.0,4190.0,0.014619748189826032,0.017047068161571977,10.0,1,-0.004410440388662451
2026-02-10,4124.37,4193.47,0.0001147368068365,0.6666666666666666,0.5240241999999999,0.0002189532598618,4119.77,0.0178893481917679,0.0167576945953351,0.015295601674617,0.001116567187003,1,0.017879465315147947,0.04592004708980979,4065.684,0.03143038170207024,0.012099167316643587,2026-02-26,4101.6,16.0,4260.0,4270.0,0.01586514270997519,0.01824980266938825,10.0,1,-0.02190787104712799
