 Date       | Index |TEVA_Return|ESLT_Return|POLI_Return|LUMI_Return|DSCT_Return|TSEM_Return|NVMI_Return|PHOE_Return|MZTF_Return|ENLT_Return|NXSN_Return|NICE_Return|ORA_Return|BEZQ_Return|HARL_Return|AZRG_Return|CLIS_Return|OPCE_Return|CAMT_Return|FIBI_Return|NVPT_Return|BIG_Return|ICL_Return|NWMD_Return|MLSR_Return|MGDL_Return|MMHD_Return|DLEKG_Return|SAE_Return|STRS_Return|MVNE_Return|AMOT_Return|FTAL_Return|SPEN_Return|DIMRI_Return|TEVA_Weight|ESLT_Weight|POLI_Weight|LUMI_Weight|DSCT_Weight|TSEM_Weight|NVMI_Weight|PHOE_Weight|MZTF_Weight|ENLT_Weight|NXSN_Weight|NICE_Weight|ORA_Weight|BEZQ_Weight|HARL_Weight|AZRG_Weight|CLIS_Weight|OPCE_Weight|CAMT_Weight|FIBI_Weight|NVPT_Weight|BIG_Weight|ICL_Weight|NWMD_Weight|MLSR_Weight|MGDL_Weight|MMHD_Weight|DLEKG_Weight|SAE_Weight|STRS_Weight|MVNE_Weight|AMOT_Weight|FTAL_Weight|SPEN_Weight|DIMRI_Weight
13/02/2026|4170.22|0.67|0.31|-1.6|-1.66|-0.66|2.79|0.42|-0.41|-1.46|-1.94|0.07|-4.14|-0.91|-0.8|-1.62|-1.1|-0.44|1.45|0.21|-0.91|0|-1.26|-0.06|0.24|-0.02|-2.87|-1.17|0.18|-0.6|1.37|-0.47|0.69|-0.17|-0.84|-1.42|7.02636|6.99919|6.57073|6.42718|6.29316|5.91341|5.56346|4.95546|4.88876|3.90606|3|2.94868|2.70102|2.69483|2.44588|2.27022|2.20636|2.14374|2.01035|1.93559|1.66658|1.65497|1.50307|1.45576|1.35716|1.33755|1.3003|1.22583|1.21371|1.09093|1.01176|0.69888|0.60103|0.51795|0.49283
12/02/2026|4190.56|-1.14|1.66|1.85|1.01|2.38|-2.33|-5.02|2.35|2.28|5.19|-5.62|-0.63|-0.27|-0.16|2.52|3|2.89|0.34|-0.61|3.56|0.33|2.47|1.43|0.48|3.7|1.95|2.6|0.77|2.17|-0.3|2.74|3.08|-0.42|0.94|3.23|7.02636|6.99919|6.57073|6.42718|6.29316|5.91341|5.56346|4.95546|4.88876|3.90606|3|2.94868|2.70102|2.69483|2.44588|2.27022|2.20636|2.14374|2.01035|1.93559|1.66658|1.65497|1.50307|1.45576|1.35716|1.33755|1.3003|1.22583|1.21371|1.09093|1.01176|0.69888|0.60103|0.51795|0.49283
11/02/2026|4160.40|-1.32|-3.52|-0.05|-0.54|1.06|-5.01|1.32|-1.13|0.04|0.47|-1.09|-4.8|-1.78|-1.25|-2.34|1.35|-2.81|-0.68|3.98|0.28|1.76|-0.98|-0.51|0.24|0.69|-0.16|0.87|-0.32|0.68|5.28|-1.29|-0.67|-0.05|0.03|-0.55|7.02636|6.99919|6.57073|6.42718|6.29316|5.91341|5.56346|4.95546|4.88876|3.90606|3|2.94868|2.70102|2.69483|2.44588|2.27022|2.20636|2.14374|2.01035|1.93559|1.66658|1.65497|1.50307|1.45576|1.35716|1.33755|1.3003|1.22583|1.21371|1.09093|1.01176|0.69888|0.60103|0.51795|0.49283
10/02/2026|4193.47|-0.19|2.7|2.22|3.31|3.22|-4.39|1.19|2.82|1.15|1.23|1.99|3.07|0.26|2.62|5.65|5.83|4.14|0.06|1.36|1.74|1.88|3.75|3.24|1.83|1.87|2.55|6.96|2.83|0|4.96|2.57|-5.3|1.3|2.3|2.05|7.02636|6.99919|6.57073|6.42718|6.29316|5.91341|5.56346|4.95546|4.88876|3.90606|3|2.94868|2.70102|2.69483|2.44588|2.27022|2.20636|2.14374|2.01035|1.93559|1.66658|1.65497|1.50307|1.45576|1.35716|1.33755|1.3003|1.22583|1.21371|1.09093|1.01176|0.69888|0.60103|0.51795|0.49283
09/02/2026|4119.77|-1.48|-1.82|2.25|1.8|0.92|11.19|4.44|2.13|1.45|2.01|3.2|0.74|0.16|1.39|-0.44|-0.94|0.38|0.51|4.49|0.97|-2.26|0.26|0.89|2.69|-0.39|1.86|4.46|1.94|1.62|1.62|0.21|-0.96|-1.42|-0.79|0.54|7.02636|6.99919|6.57073|6.42718|6.29316|5.91341|5.56346|4.95546|4.88876|3.90606|3|2.94868|2.70102|2.69483|2.44588|2.27022|2.20636|2.14374|2.01035|1.93559|1.66658|1.65497|1.50307|1.45576|1.35716|1.33755|1.3003|1.22583|1.21371|1.09093|1.01176|0.69888|0.60103|0.51795|0.49283
06/02/2026|4051.87|1.31|0.54|0.48|0.26|-0.26|4.27|2.57|-1.66|-0.56|1.66|1.74|-1.71|-4.04|-0.33|1.09|-1.12|0.89|-0.35|3.19|-1.63|2.05|-1.12|-2.43|1.08|-0.43|1.66|-0.99|-0.36|-0.69|-1.6|-1.17|-1.96|-1.36|-0.41|-0.29|7.02636|6.99919|6.57073|6.42718|6.29316|5.91341|5.56346|4.95546|4.88876|3.90606|3|2.94868|2.70102|2.69483|2.44588|2.27022|2.20636|2.14374|2.01035|1.93559|1.66658|1.65497|1.50307|1.45576|1.35716|1.33755|1.3003|1.22583|1.21371|1.09093|1.01176|0.69888|0.60103|0.51795|0.49283
05/02/2026|4039.01|-5.4|-3.81|-2.07|-2.22|-1.43|-1.34|-1.33|-0.92|-1.39|-4.03|-4.14|2.8|-1.74|-2.49|-1.26|0.35|-1.99|-3.34|-2.34|-0.39|-2.09|0.47|1.59|-1.76|-1.98|-3.17|-2.07|1.03|0.62|-0.34|-1.02|-1.17|-0.32|2.69|0.27|7.02636|6.99919|6.57073|6.42718|6.29316|5.91341|5.56346|4.95546|4.88876|3.90606|3|2.94868|2.70102|2.69483|2.44588|2.27022|2.20636|2.14374|2.01035|1.93559|1.66658|1.65497|1.50307|1.45576|1.35716|1.33755|1.3003|1.22583|1.21371|1.09093|1.01176|0.69888|0.60103|0.51795|0.49283
04/02/2026|4120.51|-0.53|-0.94|2.01|2.89|2.86|-5.6|-4.38|-0.06|1.45|-1.31|1.8|0.18|1|2.65|0.57|-0.84|0.63|0.81|-1.01|1.94|1.36|0.04|0|-4.39|0.28|1.69|0.91|-2|1.83|1.19|-1.61|0.41|-0.14|0.1|-1.69|7.02636|6.99919|6.57073|6.42718|6.29316|5.91341|5.56346|4.95546|4.88876|3.90606|3|2.94868|2.70102|2.69483|2.44588|2.27022|2.20636|2.14374|2.01035|1.93559|1.66658|1.65497|1.50307|1.45576|1.35716|1.33755|1.3003|1.22583|1.21371|1.09093|1.01176|0.69888|0.60103|0.51795|0.49283
03/02/2026|4119.81|5.09|0.57|1.26|0.17|0.92|-2.76|-1.61|5.81|1.06|5.35|5.01|0.54|1.68|2.52|4.16|2.47|3.01|5.89|-2.01|2.01|0.08|1.21|1.74|2.27|1.32|1.49|7.29|2.3|1.84|0|0|0|1.29|3.11|1.85|7.02636|6.99919|6.57073|6.42718|6.29316|5.91341|5.56346|4.95546|4.88876|3.90606|3|2.94868|2.70102|2.69483|2.44588|2.27022|2.20636|2.14374|2.01035|1.93559|1.66658|1.65497|1.50307|1.45576|1.35716|1.33755|1.3003|1.22583|1.21371|1.09093|1.01176|0.69888|0.60103|0.51795|0.49283
02/02/2026|4049.32|6.93|-0.82|1.39|0.64|1.28|2.37|-7.6|2.65|1.19|3.01|-1.18|0.6|0.18|-1.15|6.03|0.72|2.51|0.53|-5.21|3.37|-2.08|2.89|-1.01|2.22|2.08|4.43|2.65|2.55|4.35|0.77|2.82|2.49|0.48|-0.1|2.58|7.02636|6.99919|6.57073|6.42718|6.29316|5.91341|5.56346|4.95546|4.88876|3.90606|3|2.94868|2.70102|2.69483|2.44588|2.27022|2.20636|2.14374|2.01035|1.93559|1.66658|1.65497|1.50307|1.45576|1.35716|1.33755|1.3003|1.22583|1.21371|1.09093|1.01176|0.69888|0.60103|0.51795|0.49283
30/01/2026|4003.67|-0.69|-2.2|1.26|0.9|2.6|3.64|3.49|2.65|1.42|-2.76|-4.81|-0.72|-1.48|1.84|3.41|-1.81|2.91|-0.99|3.33|0.69|1.43|-1.35|-0.35|-0.05|-1.92|2.77|3.2|1.08|-1.77|1.83|-1.22|-1.47|-0.23|-0.66|0.23|7.02636|6.99919|6.57073|6.42718|6.29316|5.91341|5.56346|4.95546|4.88876|3.90606|3|2.94868|2.70102|2.69483|2.44588|2.27022|2.20636|2.14374|2.01035|1.93559|1.66658|1.65497|1.50307|1.45576|1.35716|1.33755|1.3003|1.22583|1.21371|1.09093|1.01176|0.69888|0.60103|0.51795|0.49283
29/01/2026|3978.87|2.82|-0.55|-1.11|-1.02|-1.54|-0.22|0.11|2.15|-1.19|1.57|-3.93|-4.58|2.05|0.2|2.22|0.09|1.47|1.76|0.39|-0.46|0.59|-1.3|0.36|1.27|-1.89|2.78|2.11|1.32|0.54|-1.88|-1.93|-1.96|-1.08|-0.46|-3.45|7.02636|6.99919|6.57073|6.42718|6.29316|5.91341|5.56346|4.95546|4.88876|3.90606|3|2.94868|2.70102|2.69483|2.44588|2.27022|2.20636|2.14374|2.01035|1.93559|1.66658|1.65497|1.50307|1.45576|1.35716|1.33755|1.3003|1.22583|1.21371|1.09093|1.01176|0.69888|0.60103|0.51795|0.49283
28/01/2026|3980.54|-0.65|0|-2.14|-2.18|-2.39|-0.37|-0.5|-1.37|-1.22|0.51|5.72|-1.38|0.28|2.66|-2.46|-2.23|-0.32|-2.14|1.3|-1.64|4.24|0.66|-1|-0.61|-1.17|-2.95|-1.71|2.18|-1.34|-0.93|-1.7|-1.42|-0.29|-1.01|-2.15|7.02636|6.99919|6.57073|6.42718|6.29316|5.91341|5.56346|4.95546|4.88876|3.90606|3|2.94868|2.70102|2.69483|2.44588|2.27022|2.20636|2.14374|2.01035|1.93559|1.66658|1.65497|1.50307|1.45576|1.35716|1.33755|1.3003|1.22583|1.21371|1.09093|1.01176|0.69888|0.60103|0.51795|0.49283
