Date,Score,Threshold,Trade,Predicted_Up,Actual_Up,TA35_Return,Strategy_Return,Always_Up_Pred,Open_Gap_Pred,Dual_Return_Pred,Strategy_Equity,BuyHold_Equity
2026-01-28,0.07293200577315745,0.11444094787581913,0,1,0,-0.0071881796595966,0.0,1,1,1,1.0,0.9928118203404034
2026-01-29,-0.05944654075410208,0.11305688454121891,0,0,0,-0.0004195410672923,0.0,1,1,0,1.0,0.9923952950096774
2026-01-30,-0.11233758998576653,0.1127691943235239,0,0,1,0.0062329254285764,0.0,1,0,0,1.0,0.9985808208791428
2026-02-02,0.058781401397551156,0.1124815041058289,0,1,1,0.0114020386295574,0.0,1,0,1,1.0,1.009966677973542
2026-02-03,0.027339130740195634,0.11219381388813389,0,1,1,0.0174078610729704,0.0,1,1,1,1.0,1.0275480375920347
2026-02-04,-0.10468605752854312,0.11200538896938401,0,0,1,0.000169910748311,0.0,1,1,0,1.0,1.0277226290480275
2026-02-05,-0.07462684635316189,0.11186659670010671,0,0,0,-0.0197791050136997,0.0,1,0,1,1.0,1.007395195243131
2026-02-06,0.11290362957479391,0.11172780443082941,1,1,1,0.0031839485418456,0.0031839485418456,1,1,1,1.0031839485418457,1.0106026897060878
2026-02-09,0.07960143505755775,0.11205165305914311,0,1,1,0.0167576945953351,0.0,1,1,1,1.0031839485418457,1.0275380609374067
2026-02-10,0.06778323385366965,0.11191286078986581,0,1,1,0.0178893481917679,0.0,1,1,1,1.0031839485418457,1.04592004708981
2026-02-11,-0.024699883920052432,0.11177406852058851,0,0,0,-0.0078860704857792,0.0,1,0,1,1.0031839485418457,1.0376718478759703
2026-02-12,-0.10669567028811322,0.11163527625131121,0,0,1,0.0072493029516393,0.0,1,1,0,1.0031839485418457,1.0451942454656107
2026-02-13,-0.025758742400909633,0.11072071407428645,0,0,0,-0.0048537665610324,0.0,1,0,0,1.0031839485418457,1.0401211165871862
2026-02-17,0.023068700345678435,0.10980615189726171,0,1,1,0.006253866702476,0.0,1,1,1,1.0031839485418457,1.0466258954047531
2026-02-18,0.025246314875273533,0.10889158972023695,0,1,1,0.0086623930605531,0.0,1,1,0,1.0031839485418457,1.0556921802981025
2026-02-19,-0.06826141227520978,0.10278967554049444,0,0,0,-0.0052591166290619,0.0,1,0,0,1.0031839485418457,1.0501401719975263
2026-02-20,-0.020469415475103832,0.09409408535939323,0,0,1,0.0051586670118444,0.0,1,1,1,1.0031839485418457,1.0555574954606226
2026-02-23,-0.023039781312132433,0.08539849517829182,0,0,1,0.0026842402489539,0.0,1,0,1,1.0031839485418457,1.0583908653750231
2026-02-24,0.023857676225667333,0.07893449212911771,0,1,0,-0.0175493169505146,0.0,1,1,1,1.0031839485418457,1.0398168286210274
2026-02-25,-0.06022387463020718,0.07693366334379759,0,0,0,-0.0014631806188535,0.0,1,1,0,1.0031839485418457,1.0382953887902313
2026-02-26,-0.025316219195485833,0.07493283455847752,0,0,0,-0.0147253116817601,0.0,1,0,0,1.0031839485418457,1.0230061655725609
2026-02-27,-0.023731389376503535,0.07293200577315745,0,0,1,0.0065242832065532,0.0,1,0,0,1.0031839485418457,1.0296805475188064
2026-03-02,0.18106689662077274,0.07138737419731109,1,1,1,0.0460570299101823,0.0460570299101823,1,1,1,1.0493876216652522,1.077104575293813
2026-03-04,0.10408552352282822,0.07559977748691755,1,1,0,-0.0020423758249391,-0.0020423758249391,1,0,1,1.047244377755773,1.0749047229483017
2026-03-05,0.018878586499848433,0.08204984390408465,0,1,1,0.0107270145347218,0.0,1,0,0,1.047244377755773,1.0864352415348093
2026-03-06,-0.019196448044151434,0.07826754920067767,0,0,1,0.0001767713290679,0.0,1,1,0,1.047244377755773,1.0866272921364015
2026-03-09,0.09352891549426522,0.07626672041535759,1,1,0,-0.0297611943039194,-0.0297611943039194,1,0,1,1.0160771343456962,1.0542879661591882
2026-03-10,-0.01652553756021463,0.08238693114489919,0,0,0,-0.0092381867130981,0.0,1,1,0,1.0160771343456962,1.0445482570784372
2026-03-11,0.011087949531634634,0.07893449212911771,0,1,1,0.0056948832011689,0.0,1,0,0,1.0160771343456962,1.0504968374004835
2026-03-12,-0.07242664691273588,0.07693366334379759,0,0,0,-0.015587085867867,0.0,1,0,0,1.0160771343456962,1.0341226529919996
2026-03-13,0.013455094969842233,0.07493283455847752,0,1,1,0.0075756662172559,0.0,1,0,1,1.0160771343456962,1.0419568210387702
2026-03-16,0.11350723518294212,0.07293200577315745,1,1,0,-0.0001292614384403,-0.0001292614384403,1,1,1,1.0159457947537445,1.04182213620129
2026-03-17,0.06206532217391575,0.07760060627223762,0,1,1,0.0156665964414992,0.0,1,0,1,1.0159457947537445,1.0581439431729764
