model_name,rows_tested,trades,trade_rate,model_accuracy,always_up_accuracy,open_gap_accuracy,dual_return_accuracy,traded_up_rate,skipped_up_rate,avg_trade_return,median_trade_return,avg_skip_return,median_skip_return,cumulative_strategy_return,cumulative_buy_hold_return,max_drawdown
gap_only,45,15,0.3333333333333333,0.6222222222222222,0.6,0.6222222222222222,0.6,0.7333333333333333,0.5333333333333333,0.010434829835439747,0.0072493029516393,-0.0022389012944420464,0.0016497180090303998,0.16648248143299305,0.08755512101682195,-0.009238186713097951
gap_dual_ret,45,13,0.28888888888888886,0.6,0.6,0.6222222222222222,0.6,0.6923076923076923,0.5625,0.012724777995898816,0.0097480732324,-0.002377084539010931,0.0005833020503230499,0.17696505425218856,0.08755512101682195,-0.0014631806188534213
gap_frac_up,45,9,0.2,0.6444444444444445,0.6,0.6222222222222222,0.6,0.6666666666666666,0.5833333333333334,0.007329553129219031,0.0023096032464826,0.0006497064037600973,0.00236766466191335,0.06604448130667984,0.08755512101682195,-0.03186794490527689
full_formula,45,9,0.2,0.6444444444444445,0.6,0.6222222222222222,0.6,0.6666666666666666,0.5833333333333334,0.007329553129219031,0.0023096032464826,0.0006497064037600973,0.00236766466191335,0.06604448130667984,0.08755512101682195,-0.03186794490527689
