Date,Predicted_Return,Actual_Return,Position,Strategy_Return,Predicted_Up,Actual_Up,Cumulative_Strategy,Cumulative_BuyHold
2026-02-26,0.0011062960964603693,-0.011667413651018532,0,-0.0,1,0,1.0,0.9883325863489815
2026-02-27,-0.0012145002349696244,0.008045592504779764,0,0.0,0,1,1.0,0.9962843075979404
2026-03-02,0.0016643310630664746,0.02003457984543,0,0.0,1,1,1.0,1.0162444451072603
2026-03-04,0.013591106266344369,0.0050184694600947655,1,0.0050184694600947655,1,1,1.0050184694600948,1.021344436819022
2026-03-05,0.003633837202343667,0.014117855222139486,1,0.014117855222139486,1,1,1.0192071747075087,1.0357636297099706
2026-03-06,0.003508405458121433,-0.0028404084145668973,1,-0.0028404084145668973,1,0,1.0163122100722826,1.03282163798064
2026-03-09,0.011797287013941504,-0.012396964542718658,1,-0.012396964542718658,1,0,1.0037130236396845,1.0200177847556415
2026-03-10,-0.00186594847835458,-0.014850274046717349,0,-0.0,0,0,1.0037130236396845,1.0048702411194947
2026-03-11,-0.0007518305977979038,0.017018646138689197,0,0.0,0,1,1.0037130236396845,1.0219717721684067
2026-03-12,-9.151971992693532e-05,-0.009884037482448038,0,-0.0,0,0,1.0037130236396845,1.0118705648662905
2026-03-13,0.0007869815796636447,0.016487340078154222,0,0.0,1,1,1.0037130236396845,1.028553618984315
2026-03-16,0.00763611443177223,-0.0025193488378757456,1,-0.0025193488378757456,1,0,1.001184320400017,1.025962333619634
2026-03-17,0.0047447181781768485,0.020361631816673054,1,0.020361631816673054,1,1,1.0215700669126282,1.0468526009145716
2026-03-18,0.0017608476514824412,0.008622977228482931,0,0.0,1,1,1.0215700669126282,1.055879587053836
2026-03-19,0.00738033086269531,0.005852831087995725,1,0.005852831087995725,1,1,1.0275491439588202,1.0620594719261247
2026-03-20,-0.0059045589615859305,-0.006203939835836447,-1,0.006203939835836447,0,0,1.033923997026306,1.0554705188602147
2026-03-23,0.005526275169824653,0.02000982657047956,1,0.02000982657047956,1,1,1.0546126368938595,1.0765903008928617
2026-03-24,0.005508177479835147,0.0024665199283064876,1,0.0024665199283064876,1,1,1.057213859979402,1.0792457323246354
2026-03-25,-0.0004806712445615362,0.003588979202086673,0,0.0,0,1,1.057213859979402,1.0831191228118893
2026-03-26,-0.0021245973410009313,-0.008883617632353125,-1,0.008883617632353125,0,0,1.0666057436670833,1.0734971066745387
2026-03-27,-0.002239574988207183,-0.015054806992425784,-1,0.015054806992425784,0,0,1.0826632872750042,1.057335814926626
2026-03-30,-0.010781063046891375,-0.014399682457232221,-1,0.014399682457232221,0,0,1.0982532948198673,1.042110514941024
2026-03-31,0.012282942702102475,0.028984197512269105,1,0.028984197512269105,1,1,1.1300852852354266,1.072315251935687
