Date,Score,Threshold,Trade,Predicted_Up,Actual_Up,TA35_Return,Strategy_Return,Always_Up_Pred,Open_Gap_Pred,Dual_Return_Pred,Strategy_Equity,BuyHold_Equity
2026-01-28,0.042841055158644226,0.0,1,1,0,-0.0071881796595966,-0.0071881796595966,1,1,1,0.9928118203404034,0.9928118203404034
2026-01-29,-0.02675734082917229,0.0,0,0,0,-0.0004195410672923,0.0,1,1,0,0.9928118203404034,0.9923952950096774
2026-01-30,-0.0626986501461276,0.0,0,0,1,0.0062329254285764,0.0,1,0,0,0.9928118203404034,0.9985808208791428
2026-02-02,0.028655093021516125,0.0,1,1,1,0.0114020386295574,0.0114020386295574,1,0,1,1.0041318990678059,1.009966677973542
2026-02-03,0.019825628936809666,0.0,1,1,1,0.0174078610729704,0.0174078610729704,1,1,1,1.0216116876657162,1.0275480375920347
2026-02-04,-0.06044134618643081,0.0,0,0,1,0.000169910748311,0.0,1,1,0,1.0216116876657162,1.0277226290480275
2026-02-05,-0.04070687236195639,0.0,0,0,0,-0.0197791050136997,0.0,1,0,1,1.0216116876657162,1.007395195243131
2026-02-06,0.06660797019075756,0.0,1,1,1,0.0031839485418456,0.0031839485418456,1,1,1,1.024864446708992,1.0106026897060878
2026-02-09,0.049304125408966226,0.0,1,1,1,0.0167576945953351,0.0167576945953351,1,1,1,1.0420388121085584,1.0275380609374067
2026-02-10,0.034507268923754573,0.0,1,1,1,0.0178893481917679,0.0178893481917679,1,1,1,1.0606802072477046,1.04592004708981
2026-02-11,-0.012592044313421466,0.0,0,0,0,-0.0078860704857792,0.0,1,0,1,1.0606802072477046,1.0376718478759703
2026-02-12,-0.05489285142002851,0.0,0,0,1,0.0072493029516393,0.0,1,1,0,1.0606802072477046,1.0451942454656107
2026-02-13,-0.015264059581799267,0.0,0,0,0,-0.0048537665610324,0.0,1,0,0,1.0606802072477046,1.0401211165871862
2026-02-17,0.018313149663870817,0.0,1,1,1,0.006253866702476,0.006253866702476,1,1,1,1.0673135598777865,1.0466258954047531
2026-02-18,0.013165672366156867,0.0,1,1,1,0.0086623930605531,0.0086623930605531,1,1,0,1.076559049452306,1.0556921802981025
2026-02-19,-0.03610177322148524,0.0,0,0,0,-0.0052591166290619,0.0,1,0,0,1.076559049452306,1.0501401719975263
2026-02-20,-0.008920488132776816,0.0,0,0,1,0.0051586670118444,0.0,1,1,1,1.076559049452306,1.0555574954606226
2026-02-23,-0.011083042254646167,0.0,0,0,1,0.0026842402489539,0.0,1,0,1,1.076559049452306,1.0583908653750231
2026-02-24,0.014339942547873167,0.0,1,1,0,-0.0175493169505146,-0.0175493169505146,1,1,1,1.0576661734775228,1.0398168286210274
2026-02-25,-0.02739033841466909,0.0,0,0,0,-0.0014631806188535,0.0,1,1,0,1.0576661734775228,1.0382953887902313
